amazon_category_and_sub_category,description
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,rescue stranded trains with the hornby breakdown hauler  this fantastic set comes with   steam engine  breakdown crane and utility van  lay down the hornby mat and piece together the oval track  then power it with the transformer and watch the train chug along the rails  great for youngsters and enthusiasts alike  this detailed set includes    locomotive breakdown crane support van radius starter oval with track pack   wall transformer train controller by power track hornby midimat suitable for rail lovers aged six and up
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product introduction put the water in the bottle  if the switch to on  from the chimney  steam comes out like smoke  the travels while moving to the real piston  it changes direction and hits an obstacle  it continues to run  by turning to after the lever on the front wheel  you can also play with the roll   use battery  single x  sold separately  product description mystery traveling  traveling rolled reshuffling the mystery travel  and that it travels back to the run freely  and hits the walls  kemudashi  put the water in the bottle of the body under  issue the water vapor  it based on the idea to eject the smoke at the same time as the whistle sound  flashing lights at the same time as the whistle  three use battery  battery not included  product size product specifications  power x x
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"description  brand new and high quality  consists of engine and ""carriages"" with presents and characters  engine and carriages are linked with brass fixings and cannot be separated  this rocky road train and does not sit flat on surface better displayed on fake snow or similar  lovely charming ornamental display item  length  color  as shown in the picture special christmas present  note  due to the difference between different monitors  the picture may not reflect the actual color of the item  we guarantee the style is the same as shown in the pictures  package includes  wooden christmas train set in gift package x sales la branded screen cleaning cloth"
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description the chuggington interactive railway brings your favourite engines to life via smarttalk tm  technology  the bridge tunnel starter set features total pieces  including an interactive brewster engine plus two interactive train stops  working drawbridge and tunnel  box contains x interactive brewster engine  interactive tunnel  interactive drawbridge  curved track pieces   straight track pieces   straight track pieces   straight track pieces
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"product description an amazingly interactive chuggington world  each chuggington friend talks  reacts and interacts realistically with the chuggington interactive world  each smart engine recognizes any other engine  reacts to any train stop and responds to your child play  engines recognise and ""magically"" talk to each other  training stops and set accessories koko is fearless female streamlined eurostar type engine built for high speed  unlike the other engines  koko is completely electric and draws her power directly from the tracks beneath her  box contains x interactive koko engine"
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,bring the history of the railways to life with the hornby west coast highlander  relive the golden age when this freight train chugged across the british countryside  delivering goods to rural towns and villages  great for youngsters and enthusiasts alike  this detailed set includes  wheel locomotive x cargo wagons x trakmat x oval track accessories including telegraph poles  water pump  signals and sheds standard train controller with mains power supply suitable for rail lovers aged six and up
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"product description eurostar cutting through the kent countryside heading for the continent at is wonderful sight to behold yet for those on board the feeling of such speed is minimal  this year sees the familiar grey livery give way to the fresh and striking colours of the new eurostar trains with their eye catching blue grey colour scheme and newly refurbished interiors  the hornby model replicates this new livery both in the four car train set and the separately available additional ""divisible coaches""  the stunning hornby train set features power driving unit  dummy driving unit and two passenger saloons  the model includes flush glazing  detailed roof panels and simulated pantographs  the track circuit sits easily on the x midimat and by adding hornby track and building packs can soon be developed into very effective model railway layout  train suitable for radius curves or greater  box contains eurostar class power driving unit  eurostar class dummy driving unit  two eurostar class passenger saloons  nb  both power driving units have non working pantographs track  starter oval  track packs    wall plug transformer  train controller   power track hornby midimat  x"
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description corgi   fowler showmans valiant pat collins amusements on tour die cast steam vehicle model  valiant was originally built for the war department in may but never made it to france  fortunately as she may have never returned  the engine was sold after the first world war to charles openshaw of reading  the fowler was converted to showman specification and in was bought by pat collins of bloxwitch and named  dreadnought  crane was fitted on the coal bunker by openshaw and was used by pat on his number scenic ride  dragons and peacocks  and  mont blanc kept on by the collins family the engine was in use until the early powering  dodgems  before being sold out of show land and into preservation  in it attended shottesbroke great steam fair under the ownership of mr arthur dark of felstead essex  bearing the name  goliath  length   safety notice  detailed scale model for the adult collector  not suitable for children under years  box contains steam vehicle model
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description hornby railroad range is simple and cost effective way of adding to train set providing suitable and most appropriate stepping stone into the varied and fascinating world of model railways  devoid of easily damaged detail parts the suitably livered railroad locomotives are fitted with efficient drive mechanisms and have pickups on all drive wheels ensuring smooth running  railroad model is fitted with the standard hornby hook and bar type couplings and will therefore easily couple to those locomotives and rolling stock in both the standard hornby range railroad gwr restaurant coach for those who wish to experiment and try their hands at developing their modelling techniques  range offers selection of individual locomotives  rolling stock  accessories and assortment of train and wagon packs ideally suited for train set rolling stock enhancements safety notice  not suitable for children under years because of small parts which can present choking hazard  some components have functional sharp points and edges  handle with care  only use this coach model is with the recommended transformer  box contains coach model
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description hornby caledonian belle oo gauge electric train set remembering the tranquil times of british rail the halcyon days of british railways were at their best when numerous small branch lines criss crossed the british countryside  linking the small towns to the outside world  this caledonian belle set emulates those small local trains with the smart   locomotive which makes easy work of hauling the four wheel coach and wagon around the oval of track included in the set  caledonian belle the train set includes the caledonian railways   locomotive  four wheel coach  and an open wagon in hornby usual standards of exacting detail  the train is operated using the train controller included  set track the track circuit sits easily on the x mm midimat  and by adding hornby track and accessory packs can soon be developed into very effective model railway layout  extend your set in easy steps by adding track packs and trakmat accessory packs all the way to the full layout pictured on your midimat  why choose hornby analogue train set? hornby analogue sets represent the classic origins of hornby world famous model trains  in addition to track  controller  and an exquisitely detailed locomotive with carriages  every hornby set includes midimat  pictorial bird eye view of fully scenic layout  providing the new set owner the opportunity of seeing how  by the addition of hornby track and building packs  superb layout can be created  box contains x caledonian   x wheel x open x radius starter oval x     train x power x hornby midimat    mm
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description beautifully finished  wooden cargo train from plan toys  suitable for children aged years and above  for more than years  plantoys has been consistently developing its products and activities with strong commitment that company could ever made to contribute positively to the world  from the best practice and beyond with innovation and creativity in toys process and design  plantoys is not only well known for the first company in the world to manufacture wooden toys from preservative free rubberwood  it is one of the leading company to create new material and process to minimize waste up to zero  box contains x cargo train
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description hornby dcc ready gauge br bil car electric multiple unit train model  the southern railway  sr  was established in  linking london with the channel ports  south west england  south coast resorts in kent  it was the smallest of the  big four  railway regions with most of it revenue coming from passenger traffic rather than freight in the more densely populated region of southern england  number of famous  named  trains were operated by sr including the brighton belle  bournemouth belle  golden arrow  the night ferry  london paris and brussels atlantic coast express and the devon belle  both richard maunsell and oliver bulleid served as chief mechanical engineers to the sr between and and both designed new locomotives and rolling stock to replace those inherited in  the electrification of the region began in under the management of sir herbert walker  on completion it was the world largest electrified railway system  the steel panelled wooden framed bodied were built at sr eastleigh works and the steel underframes at sr lancing works  each car unit measured   long and  wide and were powered by two english electric traction motors of   with maximum speed of  the units were fitted with automatic air brakes the bils weighed   and had passenger capacity of in the first class and or third class area  the remaining units stayed in service and passed to the newly formed british railways in where they were re classified as class and continued in service on br southern region but by all the units have been withdrawn  the bil unit represented in this pack is the only bil unit to survive and is numbered safety notice  detailed scale model  not suitable for children under the age of  please refer to safety notes in enclosed instruction leaflet  colours and contents may differ from those illustrated  box contains train model
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description beautifully finished wooden fuel train from plan toys  suitable for children aged years and above  for more than years  plantoys has been consistently developing its products and activities with strong commitment that company could ever made to contribute positively to the world  from the best practice and beyond with innovation and creativity in toys process and design  plantoys is not only well known for the first company in the world to manufacture wooden toys from preservative free rubberwood  it is one of the leading company to create new material and process to minimize waste up to zero  box contains x wooden fuel train
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"product description hornby flying scotsman gauge electric train set the world most famous locomotive the most famous locomotive and train in the world features in this superb hornby train set  the striking apple green liveried class ""flying scotsman"" helps to recreate those wonderful days of train travel in the when the two great railway rivals  lner and the lms  vied for the lucrative passenger traffic between london and scotland  the flying scotsman the train includes   ""flying scotsman"" locomotive  two composite coaches  and brake coach  it is operated using the train controller provided  additional coaches can be obtained to extend the train  set track the track circuit sits easily on the x mm midimat included  and by adding hornby track and accessory packs it can soon be developed into very effective model railway layout  extend your set in easy steps by adding track packs and trakmat accessory packs all the way to the full layout pictured on your midimat  fill out your midimat with additional track and building packs the track circuit in this set can be extended to fully complete the included midimat which  with additional hornby track and building packs  can be simply and quickly built up into truly fascinating and effective model railway layout  additional track packs include track pack  track pack  track pack  track pack  track pack  and track pack  additional building packs include building pack  building pack  building pack  building pack  and building pack  why choose hornby analogue train set? hornby analogue sets represent the classic origins of hornby world famous model trains  in addition to track  controller  and an exquisitely detailed locomotive with carriages  every hornby set includes midimat  pictorial bird eye view of fully scenic layout  providing the new set owner the opportunity of seeing how  by the addition of hornby track and building packs  superb layout can be created  box contains x flying scotsman x x lner teak comp coach no x lner teak comp coach no x lner teak brake coach no x power supply x train x straight x double straight x radius curve x radius curve x lh x buffer x power x coupling x coupling x brake x instruction x midimat"
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description hornby london oo gauge electric train set commemorating britain olympic triumphs this hornby london train set is inspired by the iconic pictogram designs which represent the various sports and disciplines of the games  the olympic and paralympic icons are used to great effect on the class model which also includes specially prepared trakmat featuring some venues of the london games  both the power cars have lights which operate in the direction of travel and all together create very exciting spectacle as it traverses the track included in the set  class this striking purple olympics themed train includes two driver trailers  one motorised  one not  and an open coach  it is operated using the train controller provided  motorised driver trailer non motorised driver trailer open coach train controller track the track circuit sits easily on the special mm   mm trakmat included which features iconic pictogram designs of the sports and disciplines held in the games  radius starter oval track pack   wall plug transformer power track hornby midimat    mm  box contains x driver trailer  motorised x driver trailer  non motorised x open x radius starter oval x track pack  with point and buffer stop x wall x x train x power x hornby midimat    mm
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description made by micki leksaker of sweden  train set with animals  engine and three carriages holding three wooden animals  total lenght cm  micki train tracks are made from birchwood and are fully compatible with ikea train sets which have the same connecting system as the micki track using plastic connectors  additional plastic connectors are available to purchase as separate accessory from micki leksaker  our train tracks are reasonably compatible with other major train tracks even though they do not use the exact same connection system  the micki tracks are wooden with plastic connectors  additional track  buildings  accessories and trains can be purchased to enlarge your train set and increase play value  box contains x engine x carriages x animals
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,this piece wooden train set forms an easy figure railway track resembling the numerical figure this is simple train set that is easy to play with just like it should be and it is great value for money  the track is standard size so will take other major brands of trains  it comes complete with  five people  animals  house trees  one engine  two carriages  product dimensions  mm long when in figure set up  suitable for ages  months+  all lelin toys comply with the international toy safety standards and are made from renewable resources with non toxic paints lacquers  piece wooden train set forms an easy figure railway track resembling the numerical figure
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description hornby schools class dcc ready gauge cheltenham steam locomotive train model  class  schools  wheel configuration   length   dcc ready  livery  sr  finish  pristine  safety warning  this product is not suitable for children under years  it contains small parts which can present choking hazard and some components have functional sharp points and edges  handle with care  colours and contents may vary from those illustrated  made in china  box contains train model
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"product description hornby skaledale gauge national mercantile bank  skaledale buildings and accessories bring an atmosphere of life and character to any ""oo"" model railway the hand crafted and hand decorated poly resin structures can be positioned on layout without further enhancement  however  just small amount of weathering can make all the difference  measures mm width by mm depth  safety notice  detailed scale model for adult collectors  scale model not designed or intended for play  colour and contents may vary from those illustrated  please retain these details and the address for future reference  box contains bank model"
Characters & Brands > Hasbro,customize for the ultimate mash up duel with this awesome mash pack  your loki figure looks just like the mischievous supervillain and your hulk figure has the muscles of the gamma green superhero  he also armed with launching gamma missile  but you can make both of them even more powerful by mixing up their parts  all their parts are removable  so you can swap them between each other or other super hero mashers figures  sold separately  to give each figure new powers  your customized superhero adventures will be mash up of awesome with the hulk vs  loki mash pack
Figures & Playsets > Science Fiction & Fantasy,product description star wars is an american epic space opera franchise conceived by george lucas  the first film in the franchise was originally released on may  by century fox  and became worldwide pop culture phenomenon  spawning two immediate sequels  released at three year intervals  sixteen years after the release of the trilogy final film  the first in new prequel trilogy of films was released  again released at three year intervals  with the final film released on may darth vader is fictional character and the central antagonist in the star wars saga  george lucas  six film science fiction saga  vader originally appeared as the empire villainous enforcer in the original star wars trilogy  episodes iv   vi and as tragic figure near the end of star wars episode iii  revenge of the sith  the third and final film of the star wars prequel trilogy  lucas  in the audio commentary for revenge of the sith  says that he considers both trilogies together to be the tragedy of darth vader  box contains star wars  talking darth vader plush
Characters & Brands > Disney > Toys,product description mickey cushion cm mickey mouse is the boyfriend of minnie mouse  mickey mouse is easily recognized by his red shorts with white buttons on it  white gloves and large yellow shoes as well as his round mouse ears  mickey sometimes chooses fun and adventure over working  trait disliked by minnie mouse  some mickey mouse characteristics are  he is understanding  sumpathetic  sportsful  incredibly brave  competitive  stubborn  very heroic  optimistic and hardworking during harsh times and encoureges his friends to keep going  noble  box contains mickey cushion cm
Characters & Brands > Hasbro,the furry frenzies friends are ready for travel adventure in the fur real friend furry frenzies cruisin  carrier playset  the crusin  carrier is carrying case that converts into fun playset for your furry frenzies pets  hidden inside are loads of accessories to keep the energetic pets fed  watered  groomed and entertained  as soon as furry frenzies pet goes into the carrier  it will spin around in delight  when the door opens  watch your pet scoot out to explore some more  in addition  this fun set comes with special edition bumper mcbones pet dog  fur real friend furry frenzies cruisin  carrier helps to encourage imaginative roleplay  see some more furreal friends in our collection
Characters & Brands > Disney > Toys,product description whether at home  on the road or in the air your favourite disney character can provide great companyand comfort  these soft colourful cushions can be easily transformed into disney character soft toy by simply opening and closing the velcro  loved by children of all ages these classic disney characters will keep kids entertained for hours  and when sleepy  just rest your head on the cushion and dream away  all our disney character cushions are washable  please read washing label for further instructions  box contains x
Games > Dice & Dice Games,classic poker dice in charming wooden box with sliding lid poker dice are great fun for adults and children not to be taken as seriously as the real game  simply throw the poker dice three times  each time putting aside any dice you want to keep  because the dice faces only show aces to nines  the there are less permutations and the chances of getting good combination are better then your opponents all throw the poker dice three times in the same way and see if they can beat your hand  younger children enjoy playing without any knowledge of the betting aspect people wishing to take it bit more seriously will need set of poker dice each and then the game can be adapted to play any poker variant such texas hold em or stud  no money is required as with all gambling games  the game is great fun just betting with counters or matchsticks approx  dimensions  box long  dice product ref  small parts  unsuitable for children younger than years old
Games > Dice & Dice Games,we ve all played dice games sometime or another  with all kinds of colored dice  and small dice     but have you played with super sized wooden dice? jaques of london  famous for making family games of distinction since  have set of three solid wooden dice for you to view  each one huge cm in size  these beautifully made wooden dice are ideal for playing wide range of dice games  such as pig  one number or chicago  fifty up  beaten ten  craps or cricket  absolutely fantastic for children too  as they find these large wooden dice much easier to hold as well as easily count the dots to add up without actually thinking  with these superb wooden dice  your games ideas are endless  try your family with this set
Games > Dice & Dice Games,colour name beige black mysterious strangers lurking in the streets  dangerous cultists trying to awaken the ancient ones  portals to other dimensions releasing hideous creatures that bring horror and madness into this world  and all there is to stop the nigh end is handfull of brave investigators  that use all they have to oppose the dread of the unknown technology known to man and the lost lore of the elder ones  and now there is new weapon in the ongoing fight to keep the streets of arkham safe  arkham horror dice is set of high quality  crafted  polyhedral dice designed and created by workshop company on license of fantasy flight games
Games > Dice & Dice Games,product description quarriors is fast paced game where players must strategically balance their choices each turn  do use my quiddity to summon creatures in the hopes of scoring glory or should spend it all to capture more powerful quarry from the wilds? players must outmaneuver their opponent through strategic spell use  the acquisition of powerful quarry  and ultimately  by striking down opponent creature in combat  if your creatures survive until your next turn  you will score glory points and move closer to victory  box contains custom playing   score dice bags
Games > Dice & Dice Games,a pack of dice  six sided standard spot dice  with rounded corners and good weight to roll  ideal as replacements for family boardgames  lets be honest  dice are easy to loose  beetle drives  yhatzee  wargames and of course in the classroom  ideal for educational purposes not too big  not too small  we supply random mix of colours  but no guarantees what colours you will get  usually black  white  blue  red  yellow  green  plus others  but sometimes not  if you need specific colours  please buy different set that guarantees colour  note  the package quantity is dice  not as stated in the technical details
Games > Dice & Dice Games,random colours  perudo is game of luck and lies  originating in the andes of south america  its game for  players  this dice selection has dice in different colours so upto people can play  don limit yourself to perudo  there are loads of games that use dice  you can even use them as counters and markers for other games  if you need other sized sets  just search for dice or dice  if you need more or less dice  search for   dice etc  images show example sets the colours you get are random in the sets
Games > Dice & Dice Games,product description learning resources foam number dice  these oversized foam dice can be used for variety of maths activities in the home or the classroom  colourful and appealing for young learners each dice measures  perfect for little hands to hold and roll and the soft foam material allows for quiet play  dice feature numbers     and on the faces  suitable for ages   learning resources foam dot dice available separately safety warning not suitable for children under months choking hazard see all product description
Games > Dice & Dice Games,shut the box is fun game that will help youngsters to improve their numeracy skills  roll the pair of dice and  shut  tiles which equal the total of the dice roll  continue play to  shut the box  and win  or until no more tiles can be shut  educational and fun  it can be played by one or more players  this wooden version of shut the box is played within traditionally crafted wooden frame featuring felt playing board  made from high quality  responsibly sourced materials  conforms to current european safety standards  age  years  width   depth   consists of play pieces founded in june  bigjigs toys is family operated business which has never lost sight of its roots  our mission is to deliver quality  safe and affordable products  which are responsibly sourced and complement childhood through fun  exploration and learning  we believe that the best toys are powered by creativity and imaginative play and strive to produce toys that are cherished and enjoyed for years to come
Games > Dice & Dice Games,our great range of my games provide something for the whole family to play and enjoy  our range of travel games include ludo  chess  snakes ladders  perfect to take with you anywhere  set up your own casino  with our home casino range including roulette  poker dice  playing cards  play with the whole family and remember the house always wins  or maybe the tradional favourites  bingo  snakes laders  pop dice racing game and more  card games galore with our numerous packs of cards ranging from the standard deck  the jumbo set perfect for those with impaired vision and the giant deck  practice anywhere till you can hit the big  with our small office  dartboard or our roll up magnetic dartboad
Games > Dice & Dice Games,"product description the fast rolling  hard hitting  body slamming  neck crunching  chair smashing  table slapping dice game for or players  luchador  mexican wrestling dice is two player dice game  with optional rules for four player tag team play  based on the popular world of professional mexican wrestling  or ""lucha libre""  k  free fighting players start with points of health  or in tag team match  and roll custom dice to try to either reduce the opponent strength points to zero to win by knock out  ko  or hold the opponent down on the mat for ""count of three"" to win by pin  the player sitting near the  red  corner of the wrestling ring uses  red  wrestling dice  the player near the  blue  corner  the blue wrestling dice  each player also has hit die and pin die  players begin by each rolling their own set of  wrestling dice  at the same time  trying to ensure that they land in  or touching the wrestling ring  the results of hits  blocks  counters  and miss rolled are played off against each other then the hit dice can be rolled to see what damage they did  e drop kick  forearm smash  table slam etc  damage is recorded on the strength score card of the player being hit  if player rolls two hits in one round  instead of rolling the hit dice twice  they can take chance on the luchador  die once which may result in their wrestler trademark moves and inflict much more damage on their opponent  any pins rolled in round may be re rolled  once only  however once an opponent is reduced on their strength to where they are pinable  the pin die is held until after the hits have been inflicted then the pin die is rolled  if pin comes up  the  three count  begins  the player being pinned has three attempts to save  using their wrestling dice or lose the match  in tag team match players have the choice of trying to tag out to regain slight strength  but it can also cost them   if they fail to tag and get dragged back into the ring by their eager opponent  box contains wrestling dice in colours  dice in red  blue  purple and pink  green hit dice yellow pin dice black luchador dice the luchador arena luchador cut outs plastic stands luchador superstar cards advanced luchador cards strength score cards strength score markers three dimensional luchador ring the world championship title belt the tag team championship title belt combat order disks"
Games > Dice & Dice Games,"family fun with strategy and learning dicewords comes in smart tube and is probably the most compact word game ever  but despite its size  this game certainly is substantial  there are special alphabet dice  featuring letters on their faces and score values depending on how usuable they are  the aim of the games is to build the highest scoring word you can  the key to this game is that the contents of the entire set are listed on what is called the dice table  each die being identifiable by unique colour  and special character for the colour blind the dice table enables you to assess the chance of achieving particular letters when rerolling  making for compelling game of luck  skill and judgement  and the dicewords set offers over million combinations  so it a different game every time  an ideal game for travel and summer holidays  easy to pop into pocket or handbag and an excellent game for christmas and those long winter nights  an ideal aid for foreign students learning english too    ""dicewords is an excellent  very well realised game  not to mention very portable one the dice  rules and scoring sheets are all contained in snug little plastic tube  also  the packaging is designed in such way that there are no superfluous bits of plastic wrapping or cardboard that will end up on landfill somewhere  small point  perhaps  but an example of the kind of thought and consideration that gone into every aspect of the game  dicewords is class act through and through  and d recommend it to anyone review by ben rainbird  the actor"
